id,lat,lng,text,timeStamp,user_id,mb_cluster,db_cluster,cluster
378008990883393536,37.76696303,-122.17216408,"It's been almost 1 month ? ? tf , time flies . I miss you brother B ? still seems unreal when I see your pictures . I love you ? , keep ?",2013-09-12 04:15:41,282374424,44,4.0,44.04
378010509452140544,37.76697081,-122.17226171,"I could cry ? everytime I think ? of Bryan and my Paw Paw , but I know that's not what they wanted . ??",2013-09-12 04:21:43,282374424,44,4.0,44.04
378010804076818434,37.7669626,-122.17216355,I get in this little mood everytime I think of them . ??,2013-09-12 04:22:53,282374424,44,4.0,44.04
378012679186554881,37.76693448,-122.17223263,why can't I just run away ? to some where far with no bs to follow .,2013-09-12 04:30:20,282374424,44,4.0,44.04
378013508299792384,37.76717467,-122.17238873,I want some doctor pepper ? and chinese food ? .,2013-09-12 04:33:38,282374424,44,4.0,44.04
378014409857060864,37.76696423,-122.17224289,A Walk to Remember ??,2013-09-12 04:37:13,282374424,44,4.0,44.04
378014692200808449,37.76694133,-122.17222307,"attitudes all day ? for nothing ? yeah , I'm so "" feelin it "" .",2013-09-12 04:38:20,282374424,44,4.0,44.04
378020270889390080,37.7670684,-122.17235614,I'm just like ???,2013-09-12 05:00:30,282374424,44,4.0,44.04
378037039092215808,37.76709962,-122.17231871,just finished hair and now ready to lay down .,2013-09-12 06:07:08,282374424,44,4.0,44.04
378037139914502144,37.76687538,-122.17230404,Been feeling like shit all day . ??,2013-09-12 06:07:32,282374424,44,4.0,44.04
378043445861838848,37.76693734,-122.1722363,"just wanna friend I can talk to about everything , someone who won't judge me or who not tired of me saying the same shit .",2013-09-12 06:32:35,282374424,44,4.0,44.04
378043612082102274,37.76695987,-122.17217451,My inside feels like ?? and my outsides are like ?,2013-09-12 06:33:15,282374424,44,4.0,44.04
378044042568671232,37.76694931,-122.17222827,Shower fresh ?? feeling clean,2013-09-12 06:34:58,282374424,44,4.0,44.04
378047009464123392,37.76706565,-122.17220723,Goodnight ?,2013-09-12 06:46:45,282374424,44,4.0,44.04
378262086414901248,37.7673799,-122.172564,http://t.co/11TVWgChYl,2013-09-12 21:01:23,1102693640,44,4.0,44.04
