id,lat,lng,text,timeStamp,user_id,mb_cluster,db_cluster,cluster
378011094721101824,37.30768157,-121.90059066,Nigga I'm fuuuuuuucked up,2013-09-12 04:24:02,62644050,36,7.0,36.07
378257181331558400,37.30764077,-121.90043952,That's as lion curly it'll get @StevieWuzHere http://t.co/QETtrzoNpW,2013-09-12 20:41:54,387993647,36,7.0,36.07
378281313230266370,37.30787106,-121.90065554,"She stared at me for a few minutes, came closer, then strolled away. http://t.co/ALZZNtThAh",2013-09-12 22:17:47,14032702,36,7.0,36.07
378596004406116352,37.30832895,-121.90161349,Happy birthday to meeee? @casscox123 http://t.co/fv2QfVk30R,2013-09-13 19:08:16,65848440,36,7.0,36.07
378601969763766272,37.30742683,-121.90026283,Serena &amp; Totem are so Fabulous! ? @ Yuki Sushi http://t.co/SXJgibc2y3,2013-09-13 19:31:58,248876618,36,7.0,36.07
378650890929831936,37.308146,-121.9003054,"My dad answers ""Go to hell on a forklift"" when ever he is averse to something",2013-09-13 22:46:22,1266198355,36,7.0,36.07
378658683317534721,37.30825554,-121.9004574,“@dickasoraus: First tattoo... ?” #Swag,2013-09-13 23:17:19,539708766,36,7.0,36.07
378659274806657024,37.30790428,-121.90060211,I can't talk. ??,2013-09-13 23:19:40,539708766,36,7.0,36.07
378659309032206336,37.30783598,-121.90058158,No one knows why.,2013-09-13 23:19:49,539708766,36,7.0,36.07
378660572318806017,37.30789046,-121.90059879,S/O to @dickasoraus for going through this with me.,2013-09-13 23:24:50,539708766,36,7.0,36.07
378947921640579073,37.30824368,-121.90164229,"that ole familiar ""too many glasses of champagne last night"" feeling",2013-09-14 18:26:39,98504802,36,7.0,36.07
378951745230995456,37.30837325,-121.90143576,I see my lovah girl and I get butterflies! @Catkilllls is mine???,2013-09-14 18:41:51,1002558061,36,7.0,36.07
378954865637982209,37.30835435,-121.90150024,"Why are there so many beautiful people at Bill's right now?? Oh my, I'm in eye candy heaven?",2013-09-14 18:54:15,1002558061,36,7.0,36.07
378954996743561216,37.3079811,-121.9004811,1$ jamba juice okay http://t.co/p7vuNEdIHf,2013-09-14 18:54:46,1120779421,36,7.0,36.07
378958513931706368,37.30834774,-121.90153636,I got the baddest bitches in the bay sittin at my table @JESSICAJ0YCE @Catkilllls @nessapee @Eunaaasty @CamGalv @claralways Melinda&amp;Michelle,2013-09-14 19:08:45,1002558061,36,7.0,36.07
378981959621685250,37.30814988,-121.90064785,Spent the day playing dress up with the lovely ladies of miss_ibiss! Exciting things happening. @… http://t.co/JNUVXwuAr6,2013-09-14 20:41:54,83982615,36,7.0,36.07
378982871500734465,37.30837214,-121.9014758,I love drinking at Bill's Cafe. #mimosas #tequillashots,2013-09-14 20:45:32,462769148,36,7.0,36.07
379015529488343040,37.30726759,-121.90010869,?,2013-09-14 22:55:18,369922888,36,7.0,36.07
379038962217529344,37.30753583,-121.90035328,@gypsykaat lol I'm not home,2013-09-15 00:28:25,1401275551,36,7.0,36.07
379041033109008384,37.30753851,-121.90036736,Lmao rounding up all the Mexican gear,2013-09-15 00:36:39,1401275551,36,7.0,36.07
379098211710824448,37.3074678,-121.90023744,Yuki sushi gave me a five dollar discount cause i didn't have enough money ?,2013-09-15 04:23:51,92543136,36,7.0,36.07
379099149355864064,37.3074884,-121.90032052,@ohdamnpham noooooo!!!???,2013-09-15 04:27:35,92543136,36,7.0,36.07
379099444295106560,37.30749527,-121.90032042,@ohdamnpham already has more followers than me and she's had her twitter for one day lol,2013-09-15 04:28:45,92543136,36,7.0,36.07
379100885923921921,37.30742683,-121.90026283,"I'm at @YukiSushiWg (San Jose, CA) w/ 2 others http://t.co/5HYbhzTToT",2013-09-15 04:34:29,767492245,36,7.0,36.07
379308633856946176,37.30831739,-121.90163149,Amazing breakfast with amazing friends! @ Bill's Cafe http://t.co/DXwoGMg8Nw,2013-09-15 18:20:00,103630999,36,7.0,36.07
379313039822290944,37.30768284,-121.90103531,"I'm at @BevMo (San Jose, CA) http://t.co/IWU6MA9ayz",2013-09-15 18:37:30,26115614,36,7.0,36.07
379683739665973248,37.30763164,-121.90084219,Playing #hideandgoseek with my #niece. #kayleatherese @ Aqui Cal-Mex http://t.co/Vlcss62Sfn,2013-09-16 19:10:32,18125419,36,7.0,36.07
379709303474884608,37.30784013,-121.9005586,Jamba Winz.,2013-09-16 20:52:07,539708766,36,7.0,36.07
379709359175249920,37.30792335,-121.90035252,Surprisingly the guy understood me.,2013-09-16 20:52:20,539708766,36,7.0,36.07
379709491643944961,37.30792335,-121.90035252,I was like can I get an Oliginal Olange Dleam Machine.,2013-09-16 20:52:52,539708766,36,7.0,36.07
379710123943690240,37.3078719,-121.90056115,“@frraaannnn: I love this computer”lucky ass nigga,2013-09-16 20:55:22,539708766,36,7.0,36.07
379710400117637120,37.3079054,-121.90056131,@frraaannnn where did you buy it?,2013-09-16 20:56:28,539708766,36,7.0,36.07
379710491175944192,37.30804242,-121.90037473,This feels amazing on my tongue. ?,2013-09-16 20:56:50,539708766,36,7.0,36.07
379710554233131011,37.30790005,-121.90055796,@frraaannnn how much?,2013-09-16 20:57:05,539708766,36,7.0,36.07
379710678569070592,37.30792641,-121.90055553,@frraaannnn damn that's a good price.,2013-09-16 20:57:35,539708766,36,7.0,36.07
379710850577489920,37.30775366,-121.9004833,"“@dickasoraus: ""It's not yours YET""” lucky ass nigga",2013-09-16 20:58:16,539708766,36,7.0,36.07
379710984086372353,37.30791036,-121.90053818,@frraaannnn obviously it's 3 years old LOL I'm assuming its gonna have minor flaws,2013-09-16 20:58:47,539708766,36,7.0,36.07
379711620177727488,37.30793541,-121.9005903,@frraaannnn let me have it haha ill give you my iPad,2013-09-16 21:01:19,539708766,36,7.0,36.07
379749218648621056,37.30768284,-121.90103531,"I'm at @BevMo (San Jose, CA) http://t.co/SLYaqfbzDL",2013-09-16 23:30:43,26115614,36,7.0,36.07
379757419431489536,37.30831739,-121.90163149,before class | smoked salmon benedict @ Bill's Cafe http://t.co/M4ZdPJoog4,2013-09-17 00:03:19,746970818,36,7.0,36.07
380047268235071488,37.30726,-121.90035,Lunch! (at Yuki Sushi) — https://t.co/VyHVlPr2XU,2013-09-17 19:15:04,11245422,36,7.0,36.07
380051041687179264,37.30831739,-121.90163149,ashhope24 I'm feelin your new glasses pretty girl #billscafe it feels good to be good. ? @ Bill's Cafe http://t.co/EcE1ShXfbQ,2013-09-17 19:30:04,408213091,36,7.0,36.07
380092708540653570,37.307483,-121.900272,Learning how to make candles ? @ Glow Candle Making http://t.co/aYTv3eOi8h,2013-09-17 22:15:38,25392362,36,7.0,36.07
380094405559873536,37.3076861,-121.9004809,I want a burger!!! The counter sounds like heaven ??,2013-09-17 22:22:22,1266198355,36,7.0,36.07
380168240485654528,37.30763164,-121.90084219,katrizzles002 #islandpunchswirl @ Aqui Cal-Mex http://t.co/zpU1vD6lmJ,2013-09-18 03:15:46,236061800,36,7.0,36.07
380173224111513600,37.30763164,-121.90084219,HURRY UP!!! #babysitting katrizzles002 @ Aqui Cal-Mex http://t.co/Eu7h4muCDo,2013-09-18 03:35:34,236061800,36,7.0,36.07
380179993311318016,37.307539,-121.900432,Free flags to cross the street! You go Willow Glenn! katrizzles002 @ Powell's Sweet Shoppe http://t.co/cfYZkYJlH6,2013-09-18 04:02:28,236061800,36,7.0,36.07
380445664880377856,37.30817944,-121.90143699,"I'm at @TheTableSj (San Jose, CA) http://t.co/qj8BdyQHjw",2013-09-18 21:38:09,28394793,36,7.0,36.07
380773459279622144,37.3082915,-121.90147232,“@iSexstrology: #Aries loves life &amp; life loves them.”@kassytejeda1,2013-09-19 19:20:41,387993647,36,7.0,36.07
380899475700846592,37.30817944,-121.90143699,"I'm at @TheTableSj (San Jose, CA) w/ 2 others http://t.co/3UffY6wgZS",2013-09-20 03:41:26,791723,36,7.0,36.07
381040230041518080,37.30792071,-121.90221942,"SJC&gt;LAX,  make it a great day!",2013-09-20 13:00:44,14032702,36,7.0,36.07
381085797119950848,37.30784297,-121.90055788,"I'm at @JambaJuice (San Jose, CA) http://t.co/HEJBkEliIJ",2013-09-20 16:01:48,29127421,36,7.0,36.07
381125669163642880,37.30831739,-121.90163149,"I'm at Bill's Cafe (San Jose, CA) http://t.co/tKDqZ8eCOJ",2013-09-20 18:40:15,30603294,36,7.0,36.07
381134163300352000,37.30817944,-121.90143699,Blessed to know this dynamite woman of God! @AshleyDinger you are so beautiful and I'm so inspired by… http://t.co/n9NqcCYKrU,2013-09-20 19:14:00,38841334,36,7.0,36.07
381188242126938112,37.30742683,-121.90026283,Bento Box Lunch ? #BentoBox #Japanese #Lunch #Sushi #YUKISUSHI #InstaLunch @ Yuki Sushi http://t.co/jbb70V9CKo,2013-09-20 22:48:53,277368213,36,7.0,36.07
381222786804744192,37.30742683,-121.90026283,Sushi and Sake Bombs with da boyz! We need this! (at @YukiSushiWg) http://t.co/nJLqmlgi73,2013-09-21 01:06:09,175554756,36,7.0,36.07
381268844540862464,37.30763164,-121.90084219,"I'm at Aqui Cal-Mex (San Jose, CA) http://t.co/wb9dZKdGVH",2013-09-21 04:09:10,171251701,36,7.0,36.07
381279786703679488,37.30889121,-121.90038521,The weather outside right now is so perfect.,2013-09-21 04:52:39,129971771,36,7.0,36.07
381446963935592448,37.30831739,-121.90163149,Having a good-bye breakfast with my son before he heads back to school. #philz #coffee #willowglen… http://t.co/YZyzoTq78h,2013-09-21 15:56:57,226711538,36,7.0,36.07
381479499357253632,37.30772764,-121.90034598,#Horsies! #Happy150thBirthday WillowGlen!!!! #FoundersDay #Parade @ Peet's Coffee &amp; Tea http://t.co/LKu6EEAtW3,2013-09-21 18:06:14,16258481,36,7.0,36.07
381499634050670592,37.30898955,-121.90064,Trying to smoke a cigarette before I start work &amp; it's raining. #SmokersProblems @ Jack In The Box http://t.co/ePwti7X2M0,2013-09-21 19:26:15,63495789,36,7.0,36.07
381509814347902976,37.30817944,-121.90143699,Brunch with @stacey_li @ The Table http://t.co/YGMaN9Rxov,2013-09-21 20:06:42,227217146,36,7.0,36.07
381509819443601408,37.30843811,-121.90101377,Oh hi rain! I missed you!?????,2013-09-21 20:06:43,1002558061,36,7.0,36.07
381529936663941120,37.3080145,-121.90063674,San Francisco crepe. Yum ????? @ Crepevine http://t.co/YD50bYUQpP,2013-09-21 21:26:40,87310614,36,7.0,36.07
381535965632036865,37.30898955,-121.90064,"This is how we do it at my workplace! Lol Oscar &amp; Amanda @angelbaby0821 showing off their Baby Bumps,… http://t.co/hTsfpPhbZE",2013-09-21 21:50:37,63495789,36,7.0,36.07
381611370644799488,37.30742683,-121.90026283,"I'm at Yuki Sushi (San Jose, CA) http://t.co/6rjBYKNpIX",2013-09-22 02:50:15,18195319,36,7.0,36.07
381677000886591488,37.30898955,-121.90064,"So bree_breezy walks into work tonight &amp; hands me this. Unsure what to make of it at first, I couldn't… http://t.co/hj0LQN3yfj",2013-09-22 07:11:02,63495789,36,7.0,36.07
381847607783354368,37.30770689,-121.90011456,Goodmorning sunshine ? http://t.co/J3QfCqtitf,2013-09-22 18:28:58,401650136,36,7.0,36.07
381862796981325824,37.30814932,-121.90079341,No better way to start the first day of fall with pumpkin spice pancakes at the Crepevine ?,2013-09-22 19:29:20,129971771,36,7.0,36.07
381863960841945088,37.30811995,-121.90076803,#TweetThe50thPictureInYourPhone http://t.co/wkKeMQAtrV,2013-09-22 19:33:57,129971771,36,7.0,36.07
381884423248945152,37.30833632,-121.90151774,I'm that nigga who gets breakfast at 2 o'clock ?,2013-09-22 20:55:16,631682899,36,7.0,36.07
381884832164220928,37.30831449,-121.90151479,@PCDBDGAF it be like that ALL THE TIME,2013-09-22 20:56:53,631682899,36,7.0,36.07
381885339352055808,37.30833805,-121.90150905,@PCDBDGAF smh #BumSquad,2013-09-22 20:58:54,631682899,36,7.0,36.07
381891515171500033,37.30831739,-121.90163149,2pm breakfast @ Bill's Cafe http://t.co/J5fx83KRVu,2013-09-22 21:23:27,631682899,36,7.0,36.07
381894602527363072,37.30831739,-121.90163149,Brunch. (@ Bill's Cafe w/ 3 others) http://t.co/PY2qoibT5B,2013-09-22 21:35:43,581499199,36,7.0,36.07
381912884399198208,37.30762696,-121.90072142,“@Davuahh: http://t.co/DI511ORaSk” ????,2013-09-22 22:48:21,149210072,36,7.0,36.07
381913401749798912,37.30762696,-121.90072142,“@ThugLiving_Kory: Every black girl trying to be Marilyn Monroe -_-”??????????,2013-09-22 22:50:25,149210072,36,7.0,36.07
381915111977254912,37.30762696,-121.90072142,“@VonniMediaMogul: Looking at @ABC7News; does anyone do these news anchors hair? If so they should be fired.”???????,2013-09-22 22:57:12,149210072,36,7.0,36.07
381915212657344513,37.30762696,-121.90072142,What's good ?,2013-09-22 22:57:36,149210072,36,7.0,36.07
381933270394359808,37.30727252,-121.90092184,Yes! Made this  for us niner people! @Kaepernick7 again you did great ! http://t.co/gl6mCF2bdq,2013-09-23 00:09:22,85969692,36,7.0,36.07
381969973096480768,37.308421,-121.900751,#WillowGlenCreamery to end the night! #icecream #sanjose #cousins???? @ Willow Glen Creamery http://t.co/tc2pvrZNr3,2013-09-23 02:35:12,48243821,36,7.0,36.07
382034746421022720,37.30898955,-121.90064,Silvia came back from her half hour break today at work &amp; hands me this marshmallows-on-a-stick thingy… http://t.co/2onRPDVojB,2013-09-23 06:52:36,63495789,36,7.0,36.07
382218476854595584,37.30747469,-121.90040038,Just someone walking they're pet pig downtown willow glen ! Omg! Who the eff does that?!,2013-09-23 19:02:40,108525667,36,7.0,36.07
382224020508528640,37.30733669,-121.90040889,"I'm at @TopNoshCafe (San Jose, CA) w/ 2 others http://t.co/kWZOeE8gPk",2013-09-23 19:24:42,17770891,36,7.0,36.07
382248199752126465,37.30788056,-121.90041848,Yee getting jamba.,2013-09-23 21:00:47,539708766,36,7.0,36.07
382248342933078016,37.30788056,-121.90041848,People always stare at me when I'm parallel parking cause they probably think I'm gonna hit the car behind me. Lol,2013-09-23 21:01:21,539708766,36,7.0,36.07
382248471081652224,37.30790411,-121.9005579,I'm just like uhm I have a camera so I'm 100% sure I won't hit it.,2013-09-23 21:01:51,539708766,36,7.0,36.07
