id,lat,lng,text,timeStamp,user_id,mb_cluster,db_cluster,cluster
378008148168044544,37.64009425,-122.08372748,I'll make a man out of you....FAVE SONG,2013-09-12 04:12:20,94490107,10,7.0,10.07
378008488166686720,37.64009271,-122.08373012,All my babies together. #thethingsilove,2013-09-12 04:13:41,94490107,10,7.0,10.07
378008688734138368,37.64009017,-122.08372936,"Really miss my dad being home, miss talking to him.",2013-09-12 04:14:29,94490107,10,7.0,10.07
378011244231262208,37.6400783,-122.08368053,When my dad's not home its really not the same.,2013-09-12 04:24:38,94490107,10,7.0,10.07
378012468733157377,37.64103014,-122.0838787,@NextToRheanna lol WHAT! i think I've passed it a couple times but never gotten it so ok haha,2013-09-12 04:29:30,29398503,10,7.0,10.07
378012855817089025,37.64005471,-122.08369855,Can't wait to have my own place and own car(my dream car...that is). LoL,2013-09-12 04:31:02,94490107,10,7.0,10.07
378013252204367873,37.64006426,-122.08369888,Idk why I follow all these non factors to my life...clean up session. LoL.#next #delete #uma #gone,2013-09-12 04:32:37,94490107,10,7.0,10.07
378013910357401600,37.64013882,-122.08371393,Oomf got me rotff right now. Hahahhaa,2013-09-12 04:35:14,94490107,10,7.0,10.07
378014033003036672,37.64007918,-122.08365363,Anthony over here moe pepelo-ing. Hahahaha,2013-09-12 04:35:43,94490107,10,7.0,10.07
378014141081866240,37.64101453,-122.08378636,@NextToRheanna lol okay I can give you a ride too,2013-09-12 04:36:09,29398503,10,7.0,10.07
378014217611141120,37.64009231,-122.08367577,Idk why I add -ing like it makes sense. Oh well...it does to me. Hahahaha,2013-09-12 04:36:27,94490107,10,7.0,10.07
378014899386871808,37.6400973,-122.08368924,Need to work hard tomorrow. And Friday. No more games for us.,2013-09-12 04:39:09,94490107,10,7.0,10.07
378015314996252672,37.64009213,-122.08369446,Feti hella hyper with all this kool aid. #SugarRush #koolaid #fatgirl,2013-09-12 04:40:48,94490107,10,7.0,10.07
378015533641113600,37.63999451,-122.08370054,This that shot I DONT like.,2013-09-12 04:41:41,94490107,10,7.0,10.07
378018647127515136,37.64111498,-122.08381105,My mom at the earth wind and fire function rn,2013-09-12 04:54:03,29398503,10,7.0,10.07
378022287972130816,37.64096633,-122.08379852,One of my prodigies http://t.co/S8TCngBx34,2013-09-12 05:08:31,29398503,10,7.0,10.07
378043059742597120,37.64034758,-122.08464861,Fuck that,2013-09-12 06:31:03,289658957,10,7.0,10.07
378046078957793280,37.64035479,-122.08463101,@ChelsSharmaine slap her with your dick,2013-09-12 06:43:03,289658957,10,7.0,10.07
378054106054529024,37.6411303,-122.08372261,"I've been awake for over 13 hourssssss
(????)?*:???",2013-09-12 07:14:57,29398503,10,7.0,10.07
378073505163517952,37.6401099,-122.08362083,Crazy ass mom.,2013-09-12 08:32:02,94490107,10,7.0,10.07
378073572985409537,37.64012733,-122.0836365,She real life came and picked up my son.,2013-09-12 08:32:18,94490107,10,7.0,10.07
378074724128935936,37.64012238,-122.08363612,Wow....now I can't go to sleep. Should of picked up my car. Then she couldn't have come.,2013-09-12 08:36:53,94490107,10,7.0,10.07
378075042342371328,37.64012049,-122.08364553,Oomf stay on that vamp life status. Alu pee alu moe. LoL,2013-09-12 08:38:09,94490107,10,7.0,10.07
378075238312865792,37.64011374,-122.0836492,Got this big ol bed and its just me. My babies left me.,2013-09-12 08:38:55,94490107,10,7.0,10.07
378075370580230144,37.64010922,-122.0836493,"Okay, gonna try and go back to sleep.",2013-09-12 08:39:27,94490107,10,7.0,10.07
378075470426038272,37.64010296,-122.08364551,Need a new escape that NO ONE knows of. Ugh!,2013-09-12 08:39:51,94490107,10,7.0,10.07
378231890525683712,37.64029787,-122.08462656,Free spirit.,2013-09-12 19:01:24,289658957,10,7.0,10.07
378237196966174720,37.64035537,-122.08465599,"I just hate girls that say I just upgraded to this guy with hella money, shit if he knew you can't even pass a fucking math test.",2013-09-12 19:22:29,289658957,10,7.0,10.07
378238011718115328,37.64035124,-122.08478569,@KaathyyBabyy shut up,2013-09-12 19:25:43,289658957,10,7.0,10.07
378239848953294848,37.64032336,-122.08461532,@KaathyyBabyy you shut up Kathy,2013-09-12 19:33:02,289658957,10,7.0,10.07
378278641525719040,37.64039956,-122.08464556,Im not repeating myself,2013-09-12 22:07:10,289658957,10,7.0,10.07
378279412413628416,37.6403922,-122.08460012,"Hahahah my dad said to my dog "" we don't lick our balls in this house ! """,2013-09-12 22:10:14,289658957,10,7.0,10.07
378281120053207042,37.64037055,-122.08454375,Maria what are you doing,2013-09-12 22:17:01,289658957,10,7.0,10.07
378376158452015104,37.64109393,-122.08372759,Lmfao you little earthworm,2013-09-13 04:34:40,29398503,10,7.0,10.07
378383590343454720,37.64101855,-122.0838421,Cheetos wasted,2013-09-13 05:04:12,29398503,10,7.0,10.07
378406753689292800,37.64100656,-122.08380363,Wut http://t.co/1iA3tmQp3J,2013-09-13 06:36:15,29398503,10,7.0,10.07
378447963766263808,37.64039273,-122.08460377,That's nasty,2013-09-13 09:20:00,289658957,10,7.0,10.07
378553401807630336,37.64039027,-122.08464852,Every Friday that I wake up  I regret having classes and tutoring right after ...,2013-09-13 16:18:58,289658957,10,7.0,10.07
378555101343801344,37.64039845,-122.08469786,Fuck man I really need to get ready for class.,2013-09-13 16:25:44,289658957,10,7.0,10.07
378555814127992832,37.64039856,-122.0846975,Fuck that shit. I'm not begin anybody for anything.,2013-09-13 16:28:33,289658957,10,7.0,10.07
378556360285097984,37.64044273,-122.08460612,Pink is punk bruh. Pink is punk ..,2013-09-13 16:30:44,289658957,10,7.0,10.07
378930568978640896,37.64033454,-122.08464433,Fuck man,2013-09-14 17:17:42,289658957,10,7.0,10.07
378930677518835712,37.64033454,-122.08464433,It's good. My blues gonna come back like always.,2013-09-14 17:18:08,289658957,10,7.0,10.07
378947259624218624,37.64039712,-122.08470376,Terrible,2013-09-14 18:24:01,289658957,10,7.0,10.07
378949944171696128,37.64037889,-122.08471675,?,2013-09-14 18:34:41,289658957,10,7.0,10.07
379039210130268160,37.63993629,-122.08358284,@babynasmama awww....HI MANASE,2013-09-15 00:29:24,94490107,10,7.0,10.07
379039350840766464,37.64001218,-122.0836695,"Dang, BBQ almost every weekend. Not good for my challenge. #losing",2013-09-15 00:29:58,94490107,10,7.0,10.07
379130998010961920,37.64049911,-122.08447266,New pick up ??hahaha. @ the panda crib http://t.co/QYsF5qTDGM,2013-09-15 06:34:08,289658957,10,7.0,10.07
379142847875645440,37.64036623,-122.08465288,“@eatmylove: EVERYTIME  http://t.co/cmrsW1qfe1”,2013-09-15 07:21:13,289658957,10,7.0,10.07
379428953141698561,37.64043203,-122.08454526,Gotta love my niggas @Andyeeyee @GReg19G,2013-09-16 02:18:06,289658957,10,7.0,10.07
379443818895925248,37.64039235,-122.08456431,2 more days for GTA V bitches !,2013-09-16 03:17:10,289658957,10,7.0,10.07
379472534522966016,37.64038603,-122.08473127,Alright bruh I got so hungry out of nowhere,2013-09-16 05:11:17,289658957,10,7.0,10.07
379472726169116673,37.64035931,-122.08457569,I been playing assassins creed for the longest dawg,2013-09-16 05:12:02,289658957,10,7.0,10.07
379474101393321984,37.64040719,-122.08464623,GTA is the perfect game ..,2013-09-16 05:17:30,289658957,10,7.0,10.07
379503061686681600,37.64031887,-122.08464752,@AYEEDaddyBri shut up,2013-09-16 07:12:35,289658957,10,7.0,10.07
379503202707599360,37.64034381,-122.0846409,I love my bestfriend !,2013-09-16 07:13:09,289658957,10,7.0,10.07
379504082282483712,37.64044241,-122.08459842,@AYEEDaddyBri duh? hahaha. Na bruh I'm bored right now ?,2013-09-16 07:16:38,289658957,10,7.0,10.07
379510441161924608,37.64044256,-122.08460615,Just be,2013-09-16 07:41:54,289658957,10,7.0,10.07
379514133948817409,37.64038467,-122.08474312,Here texting my boy @ElRudoo talking about high street,2013-09-16 07:56:35,289658957,10,7.0,10.07
379655949973487616,37.64096813,-122.08355326,WHY DO I HAVE THE WORST LUCK ON EARTH WITH CARS WHEN I ACTUALLY CHECK MY OIL &amp; WATER AND ETC ??????,2013-09-16 17:20:06,29398503,10,7.0,10.07
379658464504856577,37.64107351,-122.08342652,Ima cry,2013-09-16 17:30:06,29398503,10,7.0,10.07
379697649110515712,37.64095149,-122.08380589,"I can't work cuz my car won't start and can't get paid cuz I can't work, but in other news Colin Kaepernick actually shaved his eyebrow",2013-09-16 20:05:48,29398503,10,7.0,10.07
