id,lat,lng,text,timeStamp,user_id,mb_cluster,db_cluster,cluster
378125821111574529,37.80645081,-122.26651638,Hey young world!!!! (In my slick Rick voice) lol wassup stranger RT “@KountryGirlJP: @suenito23 heyyyyy!!!”,2013-09-12 11:59:55,408004223,99,9.0,99.09
378142032641810432,37.806217,-122.26668675,And I'm off to bed goodnight for me twiggas!!!!,2013-09-12 13:04:20,408004223,99,9.0,99.09
378142382421573632,37.80645645,-122.26645251,Thank u! See u in them!;) RT “@AiyshhOVOXO: @suenito23 sweet dreams :)”,2013-09-12 13:05:44,408004223,99,9.0,99.09
378231540095795200,37.8062449,-122.26664705,Everyone should be #teamiphone,2013-09-12 19:00:01,408004223,99,9.0,99.09
378231738108878848,37.80623774,-122.26668259,I'm hungry tired sleepy exhausted.....the whole 9....?,2013-09-12 19:00:48,408004223,99,9.0,99.09
378235382883561473,37.80625237,-122.26659004,I dwell and stress over the dumbest shit,2013-09-12 19:15:17,408004223,99,9.0,99.09
378235664254259201,37.80623198,-122.26666538,Hustle till I'm King!!!!!,2013-09-12 19:16:24,408004223,99,9.0,99.09
378236473931079680,37.80623912,-122.26665317,A question from me 2 y'all how y'all doing today?,2013-09-12 19:19:37,408004223,99,9.0,99.09
378240311236902912,37.80622725,-122.26658188,"Going to the gym,got to get my sexy up....lol ??",2013-09-12 19:34:52,408004223,99,9.0,99.09
378242248917647360,37.80595256,-122.26757526,Barbados rhum Pulled pork with habanero sauce poached onions fennel cabbage slaw @ Stag's Lunchette http://t.co/iX51Azwof3,2013-09-12 19:42:34,477562333,99,9.0,99.09
378289318730952704,37.8047,-122.2674,"YES ON PROP 37 MURAL (OAKLAND, CA)

#yesonprop37 #graffiti #murals #oakland #oaktown #urbanart… http://t.co/djAXKkUFkU",2013-09-12 22:49:36,570981216,99,9.0,99.09
378381414103658496,37.8054894,-122.2654375,Payday tomorrow...let me see how many calls I get.,2013-09-13 04:55:33,109152364,99,9.0,99.09
378382750241128448,37.8054894,-122.2654375,@PapiChulo_103 what's been good mane?,2013-09-13 05:00:52,109152364,99,9.0,99.09
378386180489764864,37.8054894,-122.2654375,I kinda miss Arkansas.,2013-09-13 05:14:30,109152364,99,9.0,99.09
378386429413294080,37.8054894,-122.2654375,Everyone talking bout friday 13th...its still thursday the 12th here.,2013-09-13 05:15:29,109152364,99,9.0,99.09
378387270924902400,37.8054894,-122.2654375,Have like a hr and 42 mins..its going to be a good friday the 13.,2013-09-13 05:18:50,109152364,99,9.0,99.09
378387611410112512,37.8054894,-122.2654375,Man I swear my neighbor a drug dealer but I ain't snitching.,2013-09-13 05:20:11,109152364,99,9.0,99.09
378388454872059904,37.8054894,-122.2654375,I think I might have to choke a mfka... @buybeautiful_,2013-09-13 05:23:32,109152364,99,9.0,99.09
378499751508840448,37.80624117,-122.26653305,"If y'all love 2pac,y'all know today is a fucked up day.....?",2013-09-13 12:45:47,408004223,99,9.0,99.09
378499836753874945,37.8062513,-122.26668937,17 years and still no answers,2013-09-13 12:46:07,408004223,99,9.0,99.09
378500907056394240,37.80621784,-122.26670904,"Yes bro,and I'm surprised its not trending ? damn shame sad day RT “@OGSpawnito: @suenito23 I can't believe its been 17 years dang”",2013-09-13 12:50:23,408004223,99,9.0,99.09
378501140737822720,37.80623461,-122.26669273,Great poet!!RT “@sierralashae: OMG Tupac Would Be The PERFECT Man For Me. A Thug Ass Nigga With A Soft Side Lol. His Poems Were AMAZING ! ?”,2013-09-13 12:51:18,408004223,99,9.0,99.09
378501325408858115,37.80624865,-122.26668084,Lol it fools some ppl though RT “@Kiley_Charaghn: Twitter and Instagram are not real life y'all!”,2013-09-13 12:52:02,408004223,99,9.0,99.09
378501527603666944,37.80623299,-122.26669723,I hope so brother it's a good topic RT “@OGSpawnito: @suenito23 I'm sure it will be trending very soon give it time for everyone to wake up”,2013-09-13 12:52:51,408004223,99,9.0,99.09
378501875634405376,37.80623468,-122.26667133,"Crazy!!! In the middle of the Vegas strip,and nothing....incredible RT “@TeamSadiee: RT @suenito23: 17 years and still no answers”",2013-09-13 12:54:14,408004223,99,9.0,99.09
378502572866146307,37.80622398,-122.26672382,"After I get my haircuts from here out I'm going to rub alcohol,barbers are stingy with the rubbing alcohol,without it neck looks like beef!",2013-09-13 12:57:00,408004223,99,9.0,99.09
378503654719778816,37.80623108,-122.26666932,I've always wanted to scare my girlfriend with that Halloween Michael Myers mask.... Hmmm #planning #halloween ? http://t.co/hUwt7KapGA,2013-09-13 13:01:18,408004223,99,9.0,99.09
378504891045404672,37.80624071,-122.26662041,Twitter dead right now.....on a Friday?!?? Though?,2013-09-13 13:06:12,408004223,99,9.0,99.09
378685565836611584,37.80610252,-122.26681704,Happy Friday ppl!!!!,2013-09-14 01:04:09,408004223,99,9.0,99.09
378727739571716097,37.80719372,-122.26522154,I'm tired of ppl,2013-09-14 03:51:44,408004223,99,9.0,99.09
378730455727497216,37.80652187,-122.26597164,Punk ass friend I have!!!!?,2013-09-14 04:02:31,408004223,99,9.0,99.09
378730543677833216,37.80661704,-122.26653968,I love everyone,2013-09-14 04:02:52,408004223,99,9.0,99.09
378746795662135296,37.80578237,-122.26658737,We all know how the story goes!,2013-09-14 05:07:27,408004223,99,9.0,99.09
378750060588044288,37.80630343,-122.26662873,This is a boring ass friday night!,2013-09-14 05:20:25,408004223,99,9.0,99.09
378750610973401088,37.80629539,-122.26662895,Some ppl here are suspect ??,2013-09-14 05:22:37,408004223,99,9.0,99.09
378751498420633600,37.80639191,-122.26649691,Ciroc with red bull,2013-09-14 05:26:08,408004223,99,9.0,99.09
378752136265211904,37.80636629,-122.26650943,"Yes right now join me via satellite lol RT “@Hello_ImCeCe: RT ""@suenito23: Ciroc with red bull""”",2013-09-14 05:28:40,408004223,99,9.0,99.09
