Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1962,4618,760,47859,3888.57,0.612%,.76873,160.02,0.09,213160.5
TOTAL,1962,4618,760,47859,3888.57,0.612%,.76873,160.02,0.09,213160.5
