Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1962,4618,3315,8504,11041,21010,760,47859,0.612%,.76873,160.02,0.09
TOTAL,1962,4618,3315,8504,11041,21010,760,47859,0.612%,.76873,160.02,0.09
